,Age,Gender,Education Level,Job Title,Years of Experience,Salary
6314,28.0,Male,Bachelor's Degree ,Junior Sales Representative,1.0,30000.0
4398,28.0,Female,Bachelor's Degree ,Junior Software Developer,2.0,37000.0
5003,28.0,Male,Bachelor's Degree ,Digital Marketing Manager,4.0,80000.0
6267,28.0,Female,High School,Sales Representative,3.0,40000.0
2682,28.0,Male,Bachelor's Degree ,Software Engineer,4.0,70000.0
2675,28.0,Female,Bachelor's Degree ,Software Engineer,4.0,70000.0
159,28.0,Male,Bachelor's Degree ,Junior Software Engineer,2.0,40000.0
6467,28.0,Female,High School,Sales Representative,2.0,40000.0
2660,28.0,Male,Bachelor's Degree ,Software Developer,3.0,75000.0
2602,28.0,Female,Bachelor's Degree ,Senior Project Engineer,4.0,70022.0
4528,28.0,Male,High School,Juniour HR Generalist,2.0,43000.0
6008,28.0,Female,Bachelor's Degree ,Product Manager,3.0,70000.0
3769,28.0,Female,Master's Degree ,Software Developer,5.0,70000.0
4516,28.0,Male,Bachelor's Degree ,Junior Web Developer,2.0,45000.0
2628,28.0,Male,Master's Degree ,Senior Software Engineer,6.0,108607.0
6290,28.0,Male,Master's Degree ,Sales Representative,2.0,40000.0
2137,28.0,Female,Bachelor's Degree ,Front end Developer,2.0,55000.0
1512,28.0,Male,Bachelor's Degree ,Front end Developer,2.0,70000.0
5356,28.0,Male,Bachelor's Degree ,Product Designer,3.0,60000.0
1131,28.0,Female,Master's Degree ,Data Scientist,6.0,155000.0
414,28.0,Male,Bachelor's Degree ,Software Engineer,3.0,125000.0
1094,28.0,Male,Bachelor's Degree ,Software Engineer,4.0,160000.0
1331,28.0,Female,Bachelor's Degree ,Front end Developer,2.0,70000.0
1336,28.0,Female,Bachelor's Degree ,Front end Developer,3.0,80000.0
1449,28.0,Female,Master's Degree ,Full Stack Engineer,4.0,110000.0
3429,28.0,Male,Master's Degree ,Web Developer,3.0,55000.0
1062,28.0,Female,Bachelor's Degree ,Software Engineer,5.0,150000.0
5376,28.0,Female,PhD,Data Scientist,5.0,100000.0
1340,28.0,Female,Master's Degree ,Back end Developer,3.0,90000.0
1,28.0,Female,Master's Degree ,Data Analyst,3.0,65000.0
5879,28.0,Female,Bachelor's Degree ,Marketing Coordinator,3.0,60000.0
1124,28.0,Female,Master's Degree ,Data Scientist,6.0,150000.0
3567,28.0,Male,Bachelor's Degree ,Web Developer,3.0,55000.0
3605,28.0,Male,Bachelor's Degree ,Web Developer,4.0,65000.0
423,28.0,Male,Master's Degree ,Product Manager,3.0,130000.0
45,28.0,Female,Bachelor's Degree ,Copywriter,2.0,40000.0
6696,28.0,Male,PhD,Sales Representative,4.0,55000.0
3530,28.0,Male,High School,Junior HR Generalist,1.0,32000.0
376,28.0,Female,Bachelor's Degree ,Software Engineer,3.0,125000.0
5903,28.0,Male,Bachelor's Degree ,Marketing Analyst,3.0,65000.0
6136,28.0,Male,Bachelor's Degree ,Graphic Designer,3.0,60000.0
3639,28.0,Male,Bachelor's Degree ,Software Engineer,3.0,60000.0
1654,28.0,Male,Bachelor's Degree ,Back end Developer,2.0,70000.0
5631,28.0,Male,Master's Degree ,Financial Analyst,4.0,90000.0
25,28.0,Female,Bachelor's Degree ,Social Media Specialist,3.0,45000.0
5504,28.0,Female,Master's Degree ,Financial Analyst,4.0,80000.0
974,28.0,Male,Bachelor's Degree ,Software Engineer,5.0,150000.0
1201,28.0,Male,Bachelor's Degree ,Senior Software Engineer,7.0,175000.0
3385,28.0,Male,Master's Degree ,Web Developer,5.0,80000.0
597,28.0,Female,Master's Degree ,Data Scientist,6.0,175000.0
2705,29.0,Male,Bachelor's Degree ,Front End Developer,4.0,80000.0
1407,29.0,Female,Bachelor's Degree ,Front end Developer,3.0,85000.0
1113,29.0,Female,Bachelor's Degree ,Data Analyst,6.0,120000.0
150,29.0,Female,Bachelor's Degree ,Junior Recruiter,3.0,45000.0
4881,29.0,Male,Bachelor's Degree ,Digital Marketing Manager,6.0,95000.0
661,29.0,Female,Master's Degree ,Data Scientist,6.0,180000.0
2225,29.0,Female,Bachelor's Degree ,Front end Developer,4.0,90000.0
1151,29.0,Female,Bachelor's Degree ,Data Analyst,7.0,130000.0
6138,29.0,Male,Bachelor's Degree ,Marketing Analyst,4.0,75000.0
1413,29.0,Male,Bachelor's Degree ,Front end Developer,3.0,80000.0
3556,29.0,Male,Bachelor's Degree ,Junior Web Developer,2.0,45000.0
3806,29.0,Male,Bachelor's Degree ,Software Engineer,4.0,65000.0
4320,29.0,Male,Bachelor's Degree ,Software Engineer,4.0,71000.0
6321,29.0,Female,High School,Sales Representative,2.0,40000.0
6549,29.0,Female,Bachelor's Degree ,Financial Manager,4.0,55000.0
5637,29.0,Male,Bachelor's Degree ,Marketing Analyst,4.0,70000.0
1004,29.0,Female,Master's Degree ,Data Scientist,6.0,150000.0
3575,29.0,Male,Master's Degree ,Senior Human Resources Manager,4.0,70000.0
3133,29.0,Female,Bachelor's Degree ,Full Stack Engineer,6.0,100358.0
3951,29.0,Female,High School,Junior Sales Associate,1.0,25000.0
2255,29.0,Female,Bachelor's Degree ,Software Developer,3.0,65000.0
1121,29.0,Male,Bachelor's Degree ,Data Analyst,7.0,130000.0
407,29.0,Female,Bachelor's Degree ,Software Engineer,4.0,140000.0
5884,29.0,Male,Bachelor's Degree ,Marketing Analyst,3.0,65000.0
32,29.0,Male,Master's Degree ,Data Scientist,3.0,75000.0
6337,29.0,Male,High School,Sales Representative,2.0,40000.0
5887,29.0,Female,Bachelor's Degree ,Product Manager,5.0,80000.0
5627,29.0,Male,Bachelor's Degree ,Product Manager,5.0,80000.0
4392,29.0,Female,Bachelor's Degree ,Human Resources Coordinator,2.0,45000.0
6460,29.0,Male,Bachelor's Degree ,Sales Manager,5.0,70000.0
6018,29.0,Male,Master's Degree ,Financial Analyst,5.0,95000.0
418,29.0,Male,Bachelor's Degree ,Software Engineer,4.0,140000.0
241,29.0,Male,Bachelor's Degree ,Junior Business Analyst,1.5,40000.0
5,29.0,Male,Bachelor's Degree ,Marketing Analyst,2.0,55000.0
4732,29.0,Female,Bachelor's Degree ,Junior Marketing Manager,3.0,55000.0
2530,29.0,Female,PhD,Full Stack Engineer,5.0,98568.0
4599,29.0,Female,Bachelor's Degree ,Web Developer,3.0,60000.0
2622,29.0,Female,Master's Degree ,Full Stack Engineer,5.0,102868.0
4609,29.0,Female,Master's Degree ,Senior HR Generalist,4.0,70000.0
959,29.0,Female,Master's Degree ,Data Analyst,6.0,150000.0
4621,29.0,Female,Master's Degree ,Web Developer,3.0,60000.0
4646,29.0,Female,Bachelor's Degree ,Marketing Coordinator,3.0,55000.0
4593,29.0,Female,Master's Degree ,Web Developer,4.0,65000.0
5751,29.0,Male,Bachelor's Degree ,Software Engineer,3.0,75000.0
2504,29.0,Female,Master's Degree ,Full Stack Engineer,4.0,104702.0
4588,29.0,Male,Master's Degree ,Senior HR Generalist,4.0,70000.0
3894,29.0,Female,Master's Degree ,Software Developer,5.0,70000.0
3392,29.0,Female,Master's Degree ,Senior HR Generalist,4.0,75000.0
4530,29.0,Male,Bachelor's Degree ,Web Developer,3.0,60000.0
91,29.0,Female,Bachelor's Degree ,Sales Associate,3.0,40000.0
180,29.0,Female,Bachelor's Degree ,Junior Sales Representative,2.0,40000.0
10,29.0,Male,Master's Degree ,Software Developer,3.0,75000.0
690,29.0,Male,Bachelor's Degree ,Software Engineer,6.0,170000.0
2566,29.0,Male,Bachelor's Degree ,Senior Project Engineer,6.0,88035.0
1255,29.0,Female,Bachelor's Degree ,Back end Developer,3.0,85000.0
1253,29.0,Male,Bachelor's Degree ,Full Stack Engineer,3.0,90000.0
2611,29.0,Male,PhD,Software Engineer Manager,6.0,106662.0
6006,29.0,Female,Bachelor's Degree ,Marketing Coordinator,4.0,65000.0
3050,29.0,Male,Bachelor's Degree ,Senior Project Engineer,6.0,88552.0
3017,29.0,Female,Bachelor's Degree ,Full Stack Engineer,6.0,103579.0
2665,29.0,Female,Bachelor's Degree ,Software Developer,5.0,80000.0
218,29.0,Male,Bachelor's Degree ,Junior Business Operations Analyst,1.5,35000.0
949,29.0,Female,Bachelor's Degree ,Software Engineer,4.0,150000.0
6360,29.0,Female,Bachelor's Degree ,Sales Director,6.0,75000.0
3540,29.0,Female,Master's Degree ,Web Developer,5.0,70000.0
2381,29.0,Female,Master's Degree ,Senior Software Engineer,6.0,132720.0
3094,29.0,Female,Bachelor's Degree ,Full Stack Engineer,6.0,91903.0
954,29.0,Female,Master's Degree ,Data Scientist,4.0,182000.0
171,29.0,Male,Bachelor's Degree ,Junior Marketing Coordinator,2.0,40000.0
2657,29.0,Female,Bachelor's Degree ,Product Manager,4.0,90000.0
6479,29.0,Female,Bachelor's Degree ,Sales Director,5.0,70000.0
4086,29.0,Male,Bachelor's Degree ,Software Engineer,4.0,70000.0
5419,29.0,Male,Bachelor's Degree ,Product Designer,3.0,60000.0
4191,29.0,Female,Master's Degree ,Human Resources Coordinator,3.0,49000.0
3262,29.0,Male,Bachelor's Degree ,Front End Developer,3.0,70000.0
1650,29.0,Female,Master's Degree ,Back end Developer,3.0,90000.0
4186,29.0,Female,High School,Junior Sales Associate,1.0,26000.0
5408,29.0,Female,Bachelor's Degree ,Digital Marketing Specialist,4.0,65000.0
54,29.0,Female,Bachelor's Degree ,Graphic Designer,3.0,50000.0
3716,29.0,Female,High School,Junior Sales Associate,1.0,30000.0
5307,29.0,Female,PhD,Data Scientist,5.0,100000.0
6260,29.0,Male,Bachelor's Degree ,Sales Associate,2.0,45000.0
292,29.0,Female,Bachelor's Degree ,Junior Marketing Specialist,2.0,40000.0
4078,29.0,Male,Bachelor's Degree ,Software Developer,5.0,80000.0
5187,29.0,Female,Bachelor's Degree ,Digital Marketing Specialist,3.0,60000.0
1891,29.0,Male,Bachelor's Degree ,Front end Developer,4.0,90000.0
360,29.0,Female,Bachelor's Degree ,Junior Project Manager,2.0,40000.0
324,29.0,Female,Bachelor's Degree ,Junior Marketing Analyst,2.0,40000.0
131,29.0,Male,Bachelor's Degree ,Junior Web Designer,3.0,45000.0
310,29.0,Female,Bachelor's Degree ,Junior Business Development Associate,1.5,35000.0
5011,29.0,Female,Master's Degree ,Content Marketing Manager,4.0,80000.0
61,29.0,Male,Bachelor's Degree ,Marketing Analyst,3.0,50000.0
2146,29.0,Male,Bachelor's Degree ,Full Stack Engineer,4.0,90000.0
5500,29.0,Female,High School,Customer Service Representative,3.0,35000.0
520,29.0,Male,Bachelor's Degree ,Software Engineer,6.0,175000.0
259,29.0,Male,Bachelor's Degree ,Junior Business Operations Analyst,1.5,350.0
3146,29.0,Male,Bachelor's Degree ,Software Engineer,4.0,80000.0
265,29.0,Female,Bachelor's Degree ,Junior Sales Representative,1.5,40000.0
84,29.0,Female,Bachelor's Degree ,Junior Designer,2.0,40000.0
6306,29.0,Male,Bachelor's Degree ,Sales Director,6.0,75000.0
1776,29.0,Male,Bachelor's Degree ,Front end Developer,5.0,105000.0
118,29.0,Female,Bachelor's Degree ,Junior HR Generalist,3.0,45000.0
5004,29.0,Male,Bachelor's Degree ,Senior Product Marketing Manager,6.0,100000.0
6279,29.0,Female,Master's Degree ,Sales Representative,4.0,55000.0
1783,29.0,Male,Bachelor's Degree ,Back end Developer,4.0,95000.0
1091,29.0,Male,Bachelor's Degree ,Software Engineer,7.0,180000.0
5843,30.0,Female,Bachelor's Degree ,Marketing Coordinator,5.0,90000.0
611,30.0,Female,Bachelor's Degree ,Product Manager,5.0,160000.0
767,30.0,Female,PhD,Data Scientist,7.0,185000.0
2595,30.0,Female,Master's Degree ,Senior Project Engineer,5.0,100425.0
4476,30.0,Female,High School,Junior Sales Associate,1.0,25000.0
714,30.0,Male,Bachelor's Degree ,Data Analyst,5.0,160000.0
1020,30.0,Female,PhD,Data Scientist,7.0,170000.0
4524,30.0,Male,Bachelor's Degree ,Web Developer,4.0,65000.0
1193,30.0,Female,Bachelor's Degree ,Software Engineer,8.0,180000.0
106,30.0,Female,Bachelor's Degree ,Digital Content Producer,3.0,50000.0
1200,30.0,Male,Bachelor's Degree ,Product Manager,8.0,185000.0
4512,30.0,Female,Bachelor's Degree ,Marketing Coordinator,4.0,58000.0
2901,30.0,Female,Master's Degree ,Senior Project Engineer,4.0,92438.0
3496,30.0,Male,High School,Junior HR Coordinator,2.0,33000.0
708,30.0,Male,PhD,Data Scientist,7.0,185000.0
2613,30.0,Female,Bachelor's Degree ,Senior Project Engineer,6.0,89995.0
3439,30.0,Male,High School,Junior HR Generalist,1.0,32000.0
3916,30.0,Male,Bachelor's Degree ,Software Engineer,4.0,65000.0
494,30.0,Female,Bachelor's Degree ,Data Analyst,5.0,145000.0
2953,30.0,Female,Master's Degree ,Full Stack Engineer,5.0,102828.0
2603,30.0,Male,Master's Degree ,Front end Developer,6.0,99363.0
2625,30.0,Female,Master's Degree ,Senior Project Engineer,6.0,107906.0
4315,30.0,Female,Master's Degree ,Human Resources Coordinator,3.0,49000.0
6112,30.0,Female,Bachelor's Degree ,Marketing Coordinator,5.0,95000.0
1097,30.0,Male,Master's Degree ,Software Engineer,6.0,170000.0
5882,30.0,Male,PhD,Data Scientist,6.0,100000.0
4263,30.0,Male,Bachelor's Degree ,Software Developer,6.0,85000.0
4370,30.0,Female,High School,Junior Sales Associate,1.0,26000.0
4256,30.0,Male,Bachelor's Degree ,Software Engineer,5.0,75000.0
2721,30.0,Female,Bachelor's Degree ,Software Engineer,5.0,90000.0
3010,30.0,Female,Master's Degree ,Senior Project Engineer,5.0,101733.0
5893,30.0,Male,Bachelor's Degree ,Project Manager,6.0,110000.0
3416,30.0,Male,Master's Degree ,Web Developer,4.0,65000.0
162,30.0,Female,Bachelor's Degree ,Junior Copywriter,3.0,45000.0
3003,30.0,Female,Master's Degree ,Full Stack Engineer,6.0,110707.0
6011,30.0,Male,Bachelor's Degree ,Marketing Analyst,4.0,75000.0
2669,30.0,Female,Master's Degree ,Product Manager,6.0,110000.0
6014,30.0,Female,Bachelor's Degree ,Product Manager,5.0,85000.0
981,30.0,Male,Bachelor's Degree ,Data Analyst,5.0,140000.0
137,30.0,Female,Bachelor's Degree ,Junior Marketing Manager,4.0,50000.0
2841,30.0,Female,Master's Degree ,Senior Project Engineer,5.0,100867.0
6701,30.0,Female,Bachelor's Degree ,Financial Manager,4.0,55000.0
5255,30.0,Female,Bachelor's Degree ,Digital Marketing Specialist,4.0,65000.0
2193,30.0,Male,Master's Degree ,Front end Developer,5.0,105000.0
2074,30.0,Female,Master's Degree ,Front end Developer,5.0,105000.0
2076,30.0,Male,Bachelor's Degree ,Back end Developer,5.0,100000.0
5008,30.0,Male,Master's Degree ,Financial Manager,7.0,120000.0
5439,30.0,Male,Master's Degree ,Financial Analyst,6.0,100000.0
79,30.0,Female,Bachelor's Degree ,Content Marketing Manager,3.0,55000.0
6631,30.0,Female,Bachelor's Degree ,Sales Manager,5.0,70000.0
6277,30.0,Female,High School,Sales Executive,2.0,40000.0
379,30.0,Male,PhD,Data Scientist,5.0,180000.0
1659,30.0,Male,Master's Degree ,Full Stack Engineer,5.0,105000.0
3261,30.0,Female,Bachelor's Degree ,Software Engineer,4.0,80000.0
298,30.0,Female,Bachelor's Degree ,Junior Operations Coordinator,2.0,40000.0
5506,30.0,Female,Bachelor's Degree ,Sales Manager,5.0,90000.0
1215,30.0,Female,Bachelor's Degree ,Front end Developer,2.0,75000.0
398,30.0,Female,PhD,Data Scientist,5.0,180000.0
5520,30.0,Female,Bachelor's Degree ,Marketing Coordinator,5.0,85000.0
2201,30.0,Female,Bachelor's Degree ,Full Stack Engineer,5.0,100000.0
274,30.0,Male,Bachelor's Degree ,Junior Business Analyst,2.0,40000.0
3767,30.0,Female,Bachelor's Degree ,Human Resources Coordinator,4.0,55000.0
42,30.0,Male,Bachelor's Degree ,Network Engineer,3.0,60000.0
4873,30.0,Female,Bachelor's Degree ,Junior Marketing Manager,4.0,57000.0
5293,30.0,Female,Bachelor's Degree ,Marketing Coordinator,4.0,65000.0
1781,30.0,Female,Master's Degree ,Front end Developer,4.0,90000.0
6603,30.0,Female,Bachelor's Degree ,Sales Director,5.0,70000.0
6584,30.0,Male,Bachelor's Degree ,Sales Manager,6.0,75000.0
58,30.0,Female,Bachelor's Degree ,Social Media Manager,4.0,55000.0
318,30.0,Female,Bachelor's Degree ,Junior HR Coordinator,2.0,40000.0
2430,30.0,Male,Master's Degree ,Front end Developer,8.0,107895.0
1330,30.0,Male,Bachelor's Degree ,Back end Developer,4.0,95000.0
3845,30.0,Male,Bachelor's Degree ,Operations Manager,5.0,70000.0
209,30.0,Female,Bachelor's Degree ,Junior Marketing Coordinator,2.0,40000.0
2475,30.0,Male,High School,Senior Project Engineer,11.0,103947.0
230,30.0,Male,Bachelor's Degree ,Junior Marketing Specialist,3.0,45000.0
4867,30.0,Female,Bachelor's Degree ,Marketing Coordinator,4.0,57000.0
598,30.0,Male,Bachelor's Degree ,Software Engineer,8.0,190000.0
22,30.0,Male,Bachelor's Degree ,IT Support,2.0,50000.0
2410,30.0,Male,Master's Degree ,Full Stack Engineer,6.0,105725.0
1302,30.0,Female,Master's Degree ,Back end Developer,6.0,130000.0
685,30.0,Female,PhD,Data Scientist,6.0,170000.0
3386,30.0,Female,Bachelor's Degree ,Junior HR Coordinator,4.0,60000.0
4563,30.0,Female,Bachelor's Degree ,Web Developer,4.0,65000.0
969,30.0,Male,PhD,Data Scientist,7.0,170000.0
4550,30.0,Male,Bachelor's Degree ,Web Developer,5.0,70000.0
2588,30.0,Female,Master's Degree ,Full Stack Engineer,5.0,102465.0
2536,30.0,Female,Master's Degree ,Senior Project Engineer,5.0,106278.0
192,30.0,Female,Bachelor's Degree ,Junior Social Media Manager,3.0,45000.0
201,30.0,Male,Bachelor's Degree ,Junior Advertising Coordinator,3.0,45000.0
5754,30.0,Female,PhD,Data Scientist,6.0,100000.0
3105,30.0,Female,Bachelor's Degree ,Senior Software Engineer,5.0,100151.0
3675,31.0,Male,Bachelor's Degree ,Operations Manager,5.0,70000.0
3584,31.0,Male,High School,Junior HR Generalist,2.0,35000.0
3955,31.0,Male,Bachelor's Degree ,Operations Manager,6.0,75000.0
3681,31.0,Male,Bachelor's Degree ,Software Engineer,4.0,65000.0
67,31.0,Female,Bachelor's Degree ,Customer Service Representative,5.0,45000.0
578,31.0,Male,Bachelor's Degree ,Data Analyst,9.0,195000.0
613,31.0,Female,Master's Degree ,Data Scientist,6.0,180000.0
3397,31.0,Male,High School,Junior Web Developer,4.0,55000.0
4014,31.0,Male,Bachelor's Degree ,Software Engineer,5.0,80000.0
3037,31.0,Male,Bachelor's Degree ,Back end Developer,8.0,100679.0
6548,31.0,Male,High School,Sales Associate,3.0,50000.0
89,31.0,Female,Bachelor's Degree ,Marketing Coordinator,6.0,55000.0
100,31.0,Female,Bachelor's Degree ,Event Coordinator,5.0,45000.0
3109,31.0,Female,Bachelor's Degree ,Full Stack Engineer,7.0,108204.0
3407,31.0,Female,High School,Junior HR Coordinator,3.0,38000.0
601,31.0,Male,Master's Degree ,Data Scientist,9.0,195000.0
637,31.0,Female,PhD,Data Scientist,9.0,195000.0
3642,31.0,Female,Bachelor's Degree ,Human Resources Coordinator,4.0,55000.0
2983,31.0,Female,Bachelor's Degree ,Senior Software Engineer,6.0,104378.0
3097,31.0,Male,Master's Degree ,Full Stack Engineer,8.0,120288.0
3121,31.0,Female,Master's Degree ,Full Stack Engineer,7.0,108799.0
681,31.0,Male,Master's Degree ,Data Scientist,7.0,180000.0
3063,31.0,Female,Master's Degree ,Senior Software Engineer,6.0,114290.0
3077,31.0,Female,Bachelor's Degree ,Senior Software Engineer,7.0,108267.0
7,31.0,Male,Bachelor's Degree ,Sales Manager,4.0,80000.0
31,31.0,Female,Bachelor's Degree ,Accountant,4.0,55000.0
5923,31.0,Female,PhD,Data Scientist,8.0,140000.0
330,31.0,Female,Bachelor's Degree ,Junior Business Development Associate,3.0,50000.0
5396,31.0,Female,Bachelor's Degree ,Marketing Coordinator,4.0,65000.0
5394,31.0,Female,Master's Degree ,Financial Manager,8.0,120000.0
375,31.0,Male,Master's Degree ,Data Scientist,6.0,160000.0
5370,31.0,Male,Master's Degree ,Financial Analyst,6.0,100000.0
366,31.0,Female,Bachelor's Degree ,Junior Financial Analyst,3.0,50000.0
1770,31.0,Male,Bachelor's Degree ,Front end Developer,6.0,115000.0
1793,31.0,Male,Bachelor's Degree ,Full Stack Engineer,6.0,115000.0
351,31.0,Male,Bachelor's Degree ,Junior Marketing Coordinator,3.0,55000.0
1643,31.0,Male,Master's Degree ,Senior Project Engineer,6.0,125000.0
1587,31.0,Male,Master's Degree ,Senior Project Engineer,7.0,135000.0
5239,31.0,Female,PhD,Research Scientist,8.0,120000.0
1605,31.0,Male,Master's Degree ,Full Stack Engineer,7.0,140000.0
384,31.0,Female,Bachelor's Degree ,Software Engineer,6.0,155000.0
5235,31.0,Female,Master's Degree ,Financial Manager,7.0,120000.0
5078,31.0,Male,Bachelor's Degree ,Sales Director,9.0,140000.0
2012,31.0,Female,Bachelor's Degree ,Front end Developer,6.0,110000.0
301,31.0,Male,Bachelor's Degree ,Junior Project Manager,3.0,55000.0
307,31.0,Male,Bachelor's Degree ,Junior Operations Analyst,3.0,50000.0
5002,31.0,Female,Master's Degree ,Content Marketing Manager,8.0,120000.0
6273,31.0,Female,High School,Financial Manager,4.0,60000.0
2132,31.0,Male,Master's Degree ,Software Engineer Manager,8.0,130000.0
6287,31.0,Female,PhD,Marketing Manager,6.0,75000.0
1902,31.0,Female,Master's Degree ,Front end Developer,5.0,105000.0
980,31.0,Female,Master's Degree ,Data Scientist,6.0,170000.0
1172,31.0,Male,Master's Degree ,Data Scientist,9.0,185000.0
1180,31.0,Male,Bachelor's Degree ,Software Engineer,9.0,180000.0
966,31.0,Male,Bachelor's Degree ,Data Analyst,9.0,190000.0
1243,31.0,Male,Master's Degree ,Full Stack Engineer,6.0,130000.0
511,31.0,Female,Master's Degree ,Data Scientist,9.0,195000.0
5762,31.0,Female,Bachelor's Degree ,Marketing Manager,7.0,100000.0
1096,31.0,Male,Bachelor's Degree ,Product Manager,8.0,190000.0
1307,31.0,Male,Master's Degree ,Senior Software Engineer,7.0,140000.0
5503,31.0,Male,Bachelor's Degree ,Project Manager,6.0,100000.0
5497,31.0,Male,Bachelor's Degree ,Software Engineer,7.0,120000.0
951,31.0,Male,Master's Degree ,Data Scientist,6.0,175000.0
2553,31.0,Male,Bachelor's Degree ,Back end Developer,8.0,100052.0
4411,31.0,Female,High School,Junior Sales Associate,1.0,25000.0
4647,31.0,Male,Bachelor's Degree ,Junior Marketing Manager,5.0,70000.0
4396,31.0,Female,Bachelor's Degree ,Software Engineer,5.0,74000.0
4387,31.0,Male,Bachelor's Degree ,Software Developer,6.0,85000.0
206,31.0,Male,Bachelor's Degree ,Junior HR Generalist,4.0,50000.0
6464,31.0,Male,PhD,Senior Product Marketing Manager,7.0,90000.0
2448,31.0,Other,High School,Back end Developer,8.0,104127.0
2442,31.0,Female,Master's Degree ,Full Stack Engineer,6.0,101186.0
2624,31.0,Male,Master's Degree ,Back end Developer,8.0,111535.0
6478,31.0,Male,High School,Junior Sales Representative,3.0,40000.0
147,31.0,Male,Bachelor's Degree ,Junior Project Manager,4.0,60000.0
4633,31.0,Female,Bachelor's Degree ,Junior HR Coordinator,4.0,500.0
4620,31.0,Male,Bachelor's Degree ,Junior HR Generalist,5.0,60000.0
4515,31.0,Female,Master's Degree ,Director of HR,6.0,95000.0
4529,31.0,Female,Bachelor's Degree ,Junior HR Coordinator,4.0,50000.0
177,31.0,Male,Bachelor's Degree ,Junior Accountant,4.0,50000.0
6009,31.0,Male,PhD,Data Scientist,7.0,110000.0
2593,31.0,Female,Bachelor's Degree ,Senior Software Engineer,7.0,107718.0
4540,31.0,Male,PhD,Senior Human Resources Manager,7.0,90000.0
2640,31.0,Male,Bachelor's Degree ,Front end Developer,7.0,103282.0
2579,31.0,Female,Master's Degree ,Senior Software Engineer,6.0,113563.0
4552,31.0,Male,Master's Degree ,Director of HR,7.0,90000.0
2648,31.0,Female,Master's Degree ,Senior Software Engineer,6.0,113065.0
168,31.0,Female,Bachelor's Degree ,Junior HR Coordinator,4.0,50000.0
221,31.0,Female,Bachelor's Degree ,Junior Social Media Specialist,3.0,45000.0
2666,31.0,Male,Master's Degree ,Data Scientist,7.0,130000.0
6323,31.0,Female,Bachelor's Degree ,Junior Sales Representative,3.0,40000.0
6348,31.0,Female,High School,Junior Sales Representative,3.0,40000.0
115,31.0,Male,Master's Degree ,Senior Financial Analyst,6.0,95000.0
2256,31.0,Male,Master's Degree ,Product Manager,6.0,120000.0
6331,31.0,Male,Bachelor's Degree ,Sales Associate,3.0,50000.0
247,31.0,Male,Bachelor's Degree ,Junior Financial Analyst,3.0,50000.0
4140,31.0,Female,Master's Degree ,Marketing Manager,4.0,62000.0
2195,31.0,Male,Bachelor's Degree ,Back end Developer,6.0,95000.0
263,31.0,Female,Bachelor's Degree ,Junior Marketing Coordinator,3.0,50000.0
4268,31.0,Female,Master's Degree ,Marketing Manager,5.0,68000.0
6305,31.0,Female,High School,Sales Associate,2.0,40000.0
6020,31.0,Male,Bachelor's Degree ,Project Manager,6.0,115000.0
4080,32.0,Male,Bachelor's Degree ,Operations Manager,6.0,90000.0
5658,32.0,Male,Bachelor's Degree ,Product Manager,7.0,120000.0
5904,32.0,Female,Bachelor's Degree ,Product Manager,7.0,110000.0
4454,32.0,Female,Master's Degree ,Marketing Manager,6.0,77000.0
6557,32.0,Female,Bachelor's Degree ,Director of Marketing,8.0,80000.0
6029,32.0,Female,PhD,Data Scientist,9.0,145000.0
3549,32.0,Female,Bachelor's Degree ,Junior Web Developer,2.0,45000.0
6031,32.0,Female,Bachelor's Degree ,Product Manager,7.0,120000.0
3449,32.0,Female,Master's Degree ,Senior Human Resources Manager,6.0,80000.0
6658,32.0,Male,High School,Junior Sales Representative,3.0,40000.0
6017,32.0,Female,Bachelor's Degree ,Marketing Manager,8.0,115000.0
6473,32.0,Female,Bachelor's Degree ,Sales Director,8.0,80000.0
6487,32.0,Female,Bachelor's Degree ,Content Marketing Manager,7.0,90000.0
4264,32.0,Female,Master's Degree ,Software Developer,8.0,95000.0
6700,32.0,Male,High School,Sales Associate,3.0,50000.0
5752,32.0,Female,Master's Degree ,Marketing Manager,8.0,120000.0
6135,32.0,Female,Bachelor's Degree ,Marketing Manager,7.0,120000.0
3520,32.0,Male,Bachelor's Degree ,Junior Web Developer,2.0,45000.0
5885,32.0,Female,Master's Degree ,Software Engineer,9.0,120000.0
6300,32.0,Male,Master's Degree ,Content Marketing Manager,5.0,70000.0
4758,32.0,Male,Bachelor's Degree ,Junior Marketing Manager,6.0,72000.0
3810,32.0,Male,Bachelor's Degree ,Operations Manager,6.0,75000.0
4750,32.0,Female,Master's Degree ,Senior Software Engineer,7.0,100000.0
5192,32.0,Male,PhD,Data Scientist,9.0,140000.0
5269,32.0,Female,Master's Degree ,Financial Manager,8.0,120000.0
6281,32.0,Female,Bachelor's Degree ,Junior Sales Representative,3.0,40000.0
6588,32.0,Male,PhD,Senior Product Marketing Manager,8.0,80000.0
6343,32.0,Male,Bachelor's Degree ,Sales Director,7.0,90000.0
4608,32.0,Male,Master's Degree ,Web Developer,6.0,80000.0
5461,32.0,Male,Bachelor's Degree ,Project Manager,8.0,120000.0
5469,32.0,Male,PhD,Research Scientist,10.0,150000.0
4572,32.0,Male,Master's Degree ,Director of HR,6.0,95000.0
3890,32.0,Female,Master's Degree ,Marketing Manager,7.0,90000.0
4520,32.0,Male,Bachelor's Degree ,Junior HR Generalist,5.0,60000.0
4019,32.0,Female,Master's Degree ,Software Developer,7.0,90000.0
